iter	MultiClass
0	0.9458925873
1	0.8378143258
2	0.7517874196
3	0.681768219
4	0.624018643
5	0.5747920733
6	0.5337373537
7	0.4993230883
8	0.4697408413
9	0.4438777942
10	0.4210424545
11	0.4017526872
12	0.3848587516
13	0.3699901913
14	0.357804063
15	0.3453281678
16	0.3350746219
17	0.325429403
18	0.3177426233
19	0.3108694721
20	0.303898375
21	0.2987644426
22	0.2936858376
23	0.2883303516
24	0.2846770811
25	0.2810808243
26	0.2773960761
27	0.2737107077
28	0.2707527241
29	0.2677463244
30	0.2658363234
31	0.2633012814
32	0.2616473077
33	0.2595693167
34	0.2578190245
35	0.2563535909
36	0.2548557051
37	0.2536351566
38	0.2522297252
39	0.2511083882
40	0.2500269684
41	0.2491062509
42	0.2480342832
43	0.2472143691
44	0.2462588817
45	0.2455788095
46	0.2450831529
47	0.2443226693
48	0.2434780926
49	0.2429982482
50	0.2424539521
51	0.2419108908
52	0.2413395372
53	0.2407553539
54	0.2403904
55	0.2400287663
56	0.2397802651
57	0.2393156649
58	0.2388362674
59	0.2382485484
60	0.2378453364
61	0.2375946705
62	0.2372356943
63	0.2369807281
64	0.2367647596
65	0.2364820705
66	0.2362350955
67	0.2361089311
68	0.2359521465
69	0.2357652932
70	0.2355370918
71	0.2351297873
72	0.2349681293
73	0.2344957468
74	0.2343380047
75	0.2341749864
76	0.2340529664
77	0.2339767478
78	0.2338553065
79	0.2337188818
80	0.2335037289
81	0.2332783607
82	0.2331495618
83	0.2330103082
84	0.232828435
85	0.2326787733
86	0.2325615194
87	0.2324442906
88	0.2322017911
89	0.2320923542
90	0.2319502708
91	0.2318513069
92	0.2317629248
93	0.2316600573
94	0.2315474386
95	0.2314864694
96	0.2312129127
97	0.2310289747
98	0.2309462088
99	0.2307685923
100	0.2306948303
101	0.2306354295
102	0.2305185206
103	0.2303456269
104	0.2302577075
105	0.230114603
106	0.2298813072
107	0.2298352517
108	0.2297167739
109	0.2295769877
110	0.2294922853
111	0.2294382121
112	0.2293939392
113	0.2292646859
114	0.229217743
115	0.2290439592
116	0.2289946819
117	0.2288911535
118	0.2286727144
119	0.228457942
120	0.2283507599
121	0.2282589154
122	0.2281164986
123	0.2280383427
124	0.227877147
125	0.2277900384
126	0.2276489401
127	0.2275564683
128	0.2274772212
129	0.22738265
130	0.2272919044
131	0.2272258683
132	0.2271130245
133	0.2269918502
134	0.226896863
135	0.2268153563
136	0.2267259043
137	0.2266575447
138	0.2265332211
139	0.2264507482
140	0.2263972975
141	0.2263050692
142	0.2262423971
143	0.2261468954
144	0.226020116
145	0.2258004568
146	0.2257122538
147	0.2256300956
148	0.2254894532
149	0.2254432161
150	0.2253711183
151	0.2253039262
152	0.2252268859
153	0.2251719157
154	0.2251169015
155	0.2250434927
156	0.2248762762
157	0.2248069575
158	0.2247603076
159	0.2246507408
160	0.2245818181
161	0.2245284726
162	0.2244706688
163	0.2244086229
164	0.2243507473
165	0.224297039
166	0.2242515573
167	0.2241865641
168	0.2241456638
169	0.2240577773
170	0.2239931565
171	0.2239185793
172	0.2238478827
173	0.223743451
174	0.2235620747
175	0.2234846815
176	0.2233970669
177	0.223332665
178	0.2232493377
179	0.2232082339
180	0.2231466482
181	0.2230853301
182	0.2230337386
183	0.222978939
184	0.2229026063
185	0.2228237123
186	0.2227524675
187	0.2226933728
188	0.2226443613
189	0.2225640626
190	0.2225076656
191	0.2224412739
192	0.2223535097
193	0.2222860021
194	0.2222255449
195	0.222178274
196	0.2221149681
197	0.2220484248
198	0.2219429082
199	0.2218327578
200	0.2217973077
201	0.2217379385
202	0.2216997007
203	0.2216439342
204	0.221588172
205	0.2215301954
206	0.221452889
207	0.2214363396
208	0.2213777897
209	0.2212871228
210	0.2211744672
211	0.2210617247
212	0.2209753455
213	0.2209136421
214	0.2208652591
215	0.2208339967
216	0.220774065
217	0.2207189611
218	0.2206449226
219	0.2205827151
220	0.2205027486
221	0.2204593068
222	0.220428055
223	0.2203096432
224	0.2201772024
225	0.2201196768
226	0.2200767298
227	0.2200203597
228	0.2199793791
229	0.2199575105
230	0.219897009
231	0.2197616116
232	0.2197156207
233	0.2196346801
234	0.2195794959
235	0.2195413767
236	0.2194888428
237	0.2194277074
238	0.2193894752
239	0.2193253833
240	0.2192095923
241	0.219178693
242	0.2191309974
243	0.2190669378
244	0.2190076569
245	0.2189630876
246	0.2188802614
247	0.2187893932
248	0.2187362697
249	0.2186917531
250	0.2186121093
251	0.2185714032
252	0.2184961268
253	0.2184161405
254	0.2183752607
255	0.218305451
256	0.2182645618
257	0.2182282326
258	0.2181854473
259	0.2181208857
260	0.218078455
261	0.2179996808
262	0.2179582962
263	0.2179204471
264	0.2178710666
265	0.217830088
266	0.2177727934
267	0.2177279119
268	0.217673001
269	0.2176410408
270	0.2175997255
271	0.2175480132
272	0.2175063941
273	0.2174267392
274	0.2173865115
275	0.2173309873
276	0.2173049458
277	0.2172695427
278	0.2172177235
279	0.2171881955
280	0.2171604766
281	0.2171097187
282	0.2170371911
283	0.2169875571
284	0.2169330073
285	0.2168933785
286	0.2168709227
287	0.2168152974
288	0.2167707432
289	0.2167129339
290	0.2166761627
291	0.2166221085
292	0.2165891942
293	0.2165200498
294	0.2164705643
295	0.2164351255
296	0.2163789681
297	0.2163287561
298	0.2162797365
299	0.2162450699
300	0.2162244388
301	0.2161840165
302	0.2161382286
303	0.2160644501
304	0.2160106858
305	0.2159839674
306	0.2159360405
307	0.2158862985
308	0.2158356796
309	0.2158013289
310	0.2157600471
311	0.2157181446
312	0.2156916579
313	0.2156209952
314	0.215531175
315	0.2154838604
316	0.2154147652
317	0.2153631733
318	0.2153353392
319	0.2152957619
320	0.2152619906
321	0.2152413873
322	0.2151867874
323	0.2151431913
324	0.2150842597
325	0.2150394345
326	0.2149985418
327	0.2149274632
328	0.2148566892
329	0.2148088637
330	0.2147700214
331	0.2147247927
332	0.2146503499
333	0.2145933522
334	0.2145387806
335	0.2144808862
336	0.2144340525
337	0.2143912469
338	0.2143483798
339	0.2142900386
340	0.2142221187
341	0.2141331221
342	0.2140892626
343	0.2140448966
344	0.2140024345
345	0.2139400009
346	0.2139078948
347	0.2138622678
348	0.2138155948
349	0.2137649257
350	0.2137062248
351	0.2136528276
352	0.213612499
353	0.213565348
354	0.213530053
355	0.213481379
356	0.2134443637
357	0.2134027771
358	0.2133381671
359	0.2132970618
360	0.2132453547
361	0.2132321156
362	0.2132038318
363	0.2131545038
364	0.2131203683
365	0.2130558673
366	0.2130067079
367	0.2129637565
368	0.2129182365
369	0.2128420564
370	0.2128061022
371	0.2127759614
372	0.2127230544
373	0.2126851959
374	0.2126491068
375	0.2125853656
376	0.2125600682
377	0.212505948
378	0.2124539944
379	0.212380647
380	0.2123398795
381	0.2122490411
382	0.2122096009
383	0.2121653784
384	0.2121054858
385	0.2120800209
386	0.2120344113
387	0.2119788734
388	0.2119540724
389	0.2119215175
390	0.2118744804
391	0.2118434586
392	0.2117959199
393	0.2117200062
394	0.211675868
395	0.2116500197
396	0.2116015887
397	0.2115406168
398	0.2114918257
399	0.2114631838
400	0.2114222326
401	0.2113836897
402	0.2113330103
403	0.211299375
404	0.2112576745
405	0.2112112073
406	0.21116169
407	0.2111314715
408	0.2111067871
409	0.2110486567
410	0.2110056624
411	0.2109823777
412	0.2109356705
413	0.2108765054
414	0.2108257948
415	0.2107756132
416	0.2107101961
417	0.2106781507
418	0.2106197029
419	0.2105827266
420	0.2105394655
421	0.2104859006
422	0.2104504069
423	0.2104062005
424	0.2103458548
425	0.2103209106
426	0.2102823879
427	0.2102639821
428	0.2102029873
429	0.2101640638
430	0.2101136629
431	0.2100425111
432	0.2099775662
433	0.2099228435
434	0.2098803374
435	0.2098523587
436	0.209789466
437	0.2097300374
438	0.2096518101
439	0.2096249291
440	0.20959522
441	0.2095596886
442	0.2095182021
443	0.2094725007
444	0.2094561492
445	0.2094352239
446	0.2093931013
447	0.2093564144
448	0.2093033774
449	0.2092557698
450	0.2091899302
451	0.2091645752
452	0.2091234581
453	0.2090618738
454	0.2090101878
455	0.2089705732
456	0.2089226392
457	0.2088936109
458	0.2088333731
459	0.2087746668
460	0.2087179115
461	0.2086637719
462	0.2085790303
463	0.2085622124
464	0.2085010382
465	0.2084797182
466	0.2084412883
467	0.2083733652
468	0.2083221623
469	0.2082742862
470	0.2082482462
471	0.2082260529
472	0.208163781
473	0.2081091545
474	0.2080325629
475	0.2080068176
476	0.2079818897
477	0.2079464593
478	0.2078768543
479	0.2078260505
480	0.2077690041
481	0.2077386988
482	0.2077217531
483	0.207675547
484	0.2076209534
485	0.2075856764
486	0.2075338133
487	0.2074899973
488	0.2074596368
489	0.2074200697
490	0.2073931289
491	0.2073220268
492	0.207283986
493	0.2072375931
494	0.207195667
495	0.2071450973
496	0.2070918533
497	0.207049677
498	0.2070097244
499	0.2069812527
500	0.2069309061
501	0.2068687935
502	0.2068521219
503	0.2068151642
504	0.2067586045
505	0.2067147931
506	0.2066674906
507	0.2066205663
508	0.20659385
509	0.206562607
510	0.2065300397
511	0.2064956193
512	0.2064572982
513	0.2063785875
514	0.2063033221
515	0.2062454401
516	0.2062012906
517	0.20615083
518	0.2061276387
519	0.2061083348
520	0.2060488045
521	0.2060109771
522	0.205967889
523	0.2059303915
524	0.2058992803
525	0.2058514706
526	0.2057971563
527	0.2057847058
528	0.2057437788
529	0.2056879859
530	0.2056406741
531	0.2056063026
532	0.2055624947
533	0.205497883
534	0.2054404052
535	0.2053856496
536	0.2053459316
537	0.2053102214
538	0.2052674083
539	0.2052377279
540	0.2051642097
541	0.2051343076
542	0.2050990533
543	0.2050684736
544	0.2050205833
545	0.204986701
546	0.2049325798
547	0.204887985
548	0.2048325069
549	0.2047866495
550	0.2047539492
551	0.2046932092
552	0.2046476435
553	0.2045889822
554	0.2045450238
555	0.2045150189
556	0.2044769369
557	0.2044393326
558	0.204387547
559	0.2043620886
560	0.2043285649
561	0.204281655
562	0.2042568543
563	0.2042143102
564	0.2041827398
565	0.2041496862
566	0.2041049442
567	0.2040540118
568	0.2040111874
569	0.20398131
570	0.2039340647
571	0.2038986028
572	0.2038734261
573	0.2038301951
574	0.2038012747
575	0.2037571018
576	0.2037077291
577	0.2036571521
578	0.203578754
579	0.2035370736
580	0.2035029921
581	0.2034632845
582	0.2034257081
583	0.2034074647
584	0.2033444022
585	0.2033074557
586	0.2032663408
587	0.203234034
588	0.2032026686
589	0.2031676975
590	0.2031337448
591	0.2030801546
592	0.2030320442
593	0.2029997869
594	0.2029592507
595	0.2029318876
596	0.2028957691
597	0.202868027
598	0.202841178
599	0.2028147548
600	0.2027695282
601	0.2027119281
602	0.202660038
603	0.2026224697
604	0.2025589026
605	0.2025290407
606	0.202507101
607	0.2024618467
608	0.2024243322
609	0.2023999849
610	0.2023597761
611	0.2023163198
612	0.2022884484
613	0.2022633417
614	0.2022085841
615	0.2021831967
616	0.202152402
617	0.2021197538
618	0.2020725425
619	0.2020291038
620	0.2020105269
621	0.201969095
622	0.201915985
623	0.2018795443
624	0.2018382844
625	0.2017905792
626	0.2017543403
627	0.2017289657
628	0.2017027812
629	0.2016551583
630	0.2016215973
631	0.2015841744
632	0.2015233287
633	0.2014966517
634	0.2014712814
635	0.2014488629
636	0.2014288311
637	0.2013797881
638	0.2013298649
639	0.2012718773
640	0.2012438164
641	0.2012193083
642	0.2011751745
643	0.2011373568
644	0.2010975968
645	0.2010485647
646	0.2010176975
647	0.2009771202
648	0.2009468318
649	0.2008843115
650	0.2008580259
651	0.20083861
652	0.200791169
653	0.2007494984
654	0.2007046504
655	0.2006718008
656	0.2006373931
657	0.2005985455
658	0.2005657962
659	0.2005229443
660	0.2004774004
661	0.2004444452
662	0.2004144814
663	0.200378405
664	0.2003411421
665	0.2003087689
666	0.2002629124
667	0.2002426463
668	0.200215503
669	0.200189034
670	0.2001567285
671	0.2001289608
672	0.2000988615
673	0.2000569303
674	0.2000279578
675	0.1999991076
676	0.199946107
677	0.1999170881
678	0.1998490166
679	0.1997934121
680	0.1997482046
681	0.1997171016
682	0.199671302
683	0.1996374433
684	0.1995833397
685	0.1995558886
686	0.1995261133
687	0.199486066
688	0.1994514424
689	0.19941132
690	0.1993727438
691	0.1993433009
692	0.1993105775
693	0.1992688015
694	0.1992224129
695	0.1991851901
696	0.1991447504
697	0.1990952546
698	0.1990590505
699	0.1990282813
700	0.1990012847
701	0.1989760386
702	0.1989478008
703	0.1989331035
704	0.1988803575
705	0.1988420791
706	0.1987969356
707	0.1987585875
708	0.1987278707
709	0.1986846218
710	0.1986390074
711	0.1985983371
712	0.1985696127
713	0.198519326
714	0.1984719951
715	0.1984104803
716	0.1983840312
717	0.198339958
718	0.1983126095
719	0.1982892708
720	0.1982439819
721	0.1982012155
722	0.1981858301
723	0.1981541768
724	0.198110572
725	0.1980794077
726	0.1980548345
727	0.1980204205
728	0.1979836524
729	0.1979651844
730	0.1979337214
731	0.1978848733
732	0.1978435213
733	0.1978160163
734	0.197762339
735	0.1977102415
736	0.197685221
737	0.1976396664
738	0.1975971823
739	0.1975715966
740	0.1975222137
741	0.197478953
742	0.1974445225
743	0.1974203367
744	0.1973967193
745	0.1973679477
746	0.1973311396
747	0.1973040307
748	0.1972698033
749	0.1972367944
750	0.1971566051
751	0.1971259777
752	0.1970935027
753	0.1970724071
754	0.1970505433
755	0.1970206555
756	0.1969720606
757	0.196944437
758	0.1968848452
759	0.1968133131
760	0.1967685803
761	0.1967374455
762	0.1966855996
763	0.1966547636
764	0.1966406871
765	0.1966146713
766	0.196566557
767	0.1965314968
768	0.1964833489
769	0.1964300886
770	0.1963942946
771	0.1963670712
772	0.1963432205
773	0.1962850476
774	0.1962565083
775	0.1962271959
776	0.1961856851
777	0.1961591678
778	0.1961160251
779	0.1960706781
780	0.1960394675
781	0.1960207614
782	0.1959631514
783	0.195927924
784	0.1959033713
785	0.1958790274
786	0.1958253941
787	0.195771344
788	0.195739889
789	0.195706954
790	0.1956749386
791	0.1956141468
792	0.195580943
793	0.1955416206
794	0.1955060925
795	0.1954569337
796	0.1954243932
797	0.1954005869
798	0.195392438
799	0.1953591924
800	0.1953251786
801	0.1952849941
802	0.1952532011
803	0.195210433
804	0.1951818229
805	0.1951317369
806	0.1950985318
807	0.1950791779
808	0.1950466123
809	0.1950279044
810	0.1950059488
811	0.1949919251
812	0.1949512491
813	0.1949216878
814	0.194871244
815	0.1948341062
816	0.1948154571
817	0.1947928817
818	0.1947510075
819	0.1947191004
820	0.1946861017
821	0.1946695738
822	0.1946416427
823	0.1946161668
824	0.1945811115
825	0.1945523509
826	0.1944993234
827	0.1944426029
828	0.1944032769
829	0.194373347
830	0.1943460722
831	0.1943170838
832	0.1942802345
833	0.1942257406
834	0.1941752957
835	0.1941429958
836	0.1941054968
837	0.1940667309
838	0.1940343073
839	0.194000842
840	0.1939821468
841	0.1939347452
842	0.1939096398
843	0.1938808381
844	0.1938372518
845	0.1938065672
846	0.1937710213
847	0.1937301297
848	0.1936834142
849	0.193651851
850	0.193636375
851	0.1935947129
852	0.1935645319
853	0.1935242929
854	0.1934984597
855	0.1934628147
856	0.1934363025
857	0.1934071263
858	0.1933640089
859	0.193324364
860	0.1932736699
861	0.1932461934
862	0.1931877106
863	0.193144134
864	0.1931271559
865	0.1930920132
866	0.1930691851
867	0.1930346767
868	0.1930146555
869	0.1929614277
870	0.1929286894
871	0.1928791599
872	0.1928167853
873	0.1927848148
874	0.1927618552
875	0.192719072
876	0.1926953936
877	0.1926691568
878	0.1926350683
879	0.192608766
880	0.1925613664
881	0.192526589
882	0.1924899075
883	0.1924555157
884	0.1924284278
885	0.1923954798
886	0.1923739867
887	0.192344705
888	0.1923254215
889	0.1922886508
890	0.192264566
891	0.1922365407
892	0.1922182358
893	0.1921843994
894	0.192170563
895	0.192131676
896	0.1921075199
897	0.1920883439
898	0.1920660739
899	0.1920427501
900	0.1920184204
901	0.1919993046
902	0.1919511828
903	0.1919294073
904	0.19189292
905	0.1918697238
906	0.191852524
907	0.1918221084
908	0.1917805798
909	0.1917374928
910	0.1917218409
911	0.1916964148
912	0.1916675712
913	0.1916246203
914	0.1915982481
915	0.1915628488
916	0.1915298249
917	0.1915070146
918	0.1914609622
919	0.1914385617
920	0.1914153702
921	0.19138685
922	0.1913404317
923	0.19131447
924	0.1912782324
925	0.1912344649
926	0.1911818665
927	0.1911513928
928	0.1911266611
929	0.1910826347
930	0.191046558
931	0.1910055567
932	0.190982923
933	0.1909666398
934	0.1909405839
935	0.1909140085
936	0.1908810986
937	0.1908491805
938	0.1908235053
939	0.190775922
940	0.1907563483
941	0.1907263871
942	0.1906960319
943	0.1906703874
944	0.1906472882
945	0.1906224036
946	0.1905791851
947	0.1905224756
948	0.1904989733
949	0.1904840014
950	0.1904472371
951	0.190432335
952	0.1904017908
953	0.1903791636
954	0.1903477418
955	0.1903009216
956	0.1902696645
957	0.190244358
958	0.1902167481
959	0.1901683153
960	0.1901337256
961	0.1901121252
962	0.1900943897
963	0.1900653829
