iter	Passed	Remaining
0	109	109886
1	151	75825
2	190	63453
3	239	59595
4	279	55616
5	319	52955
6	360	51193
7	404	50213
8	446	49172
9	486	48137
10	527	47390
11	570	46992
12	618	46966
13	664	46788
14	703	46211
15	744	45794
16	789	45623
17	832	45405
18	871	45016
19	913	44745
20	950	44297
21	986	43852
22	1026	43616
23	1069	43491
24	1105	43119
25	1145	42917
26	1187	42781
27	1232	42772
28	1271	42557
29	1310	42358
30	1350	42203
31	1390	42059
32	1429	41884
33	1471	41794
34	1508	41592
35	1545	41384
36	1583	41226
37	1626	41178
38	1673	41246
39	1717	41231
40	1758	41129
41	1799	41054
42	1839	40949
43	1879	40841
44	1918	40710
45	1954	40526
46	1999	40539
47	2032	40320
48	2070	40181
49	2115	40191
50	2159	40186
51	2201	40132
52	2242	40067
53	2277	39896
54	2315	39792
55	2367	39904
56	2412	39918
57	2453	39847
58	2498	39853
59	2536	39733
60	2570	39565
61	2612	39520
62	2648	39395
63	2686	39293
64	2730	39281
65	2772	39240
66	2813	39175
67	2855	39137
68	2894	39049
69	2930	38937
70	2969	38849
71	3006	38748
72	3045	38673
73	3087	38631
74	3125	38552
75	3163	38463
76	3202	38393
77	3239	38288
78	3277	38214
79	3319	38168
80	3361	38133
81	3403	38097
82	3442	38038
83	3480	37954
84	3521	37908
85	3567	37915
86	3611	37899
87	3648	37811
88	3696	37841
89	3738	37805
90	3780	37768
91	3824	37743
92	3862	37668
93	3902	37612
94	3941	37551
95	3981	37491
96	4025	37470
97	4062	37392
98	4105	37364
99	4146	37320
100	4186	37261
101	4227	37214
102	4269	37178
103	4303	37072
104	4341	37005
105	4390	37026
106	4436	37023
107	4476	36969
108	4518	36937
109	4559	36893
110	4607	36903
111	4643	36815
112	4681	36748
113	4723	36712
114	4760	36636
115	4798	36564
116	4834	36486
117	4884	36513
118	4926	36471
119	4973	36474
120	5016	36443
121	5053	36371
122	5094	36322
123	5132	36259
124	5175	36229
125	5214	36171
126	5258	36148
127	5301	36118
128	5343	36078
129	5388	36063
130	5432	36037
131	5466	35949
132	5509	35916
133	5557	35918
134	5614	35973
135	5652	35909
136	5690	35844
137	5728	35782
138	5770	35744
139	5807	35673
140	5844	35606
141	5885	35561
142	5931	35548
143	5973	35507
144	6013	35458
145	6059	35446
146	6098	35389
147	6138	35339
148	6176	35276
149	6215	35218
150	6253	35158
151	6291	35098
152	6336	35077
153	6372	35008
154	6410	34947
155	6457	34934
156	6498	34891
157	6539	34849
158	6581	34812
159	6631	34816
160	6676	34794
161	6718	34751
162	6760	34715
163	6794	34636
164	6834	34586
165	6868	34508
166	6904	34437
167	6943	34387
168	6978	34314
169	7021	34283
170	7064	34249
171	7105	34203
172	7147	34166
173	7185	34112
174	7228	34075
175	7263	34005
176	7300	33945
177	7338	33889
178	7381	33857
179	7424	33823
180	7457	33745
181	7499	33705
182	7536	33644
183	7579	33611
184	7614	33545
185	7659	33521
186	7695	33456
187	7731	33392
188	7768	33335
189	7810	33298
190	7849	33246
191	7887	33194
192	7929	33156
193	7966	33099
194	8010	33068
195	8052	33030
196	8096	33000
197	8136	32955
198	8177	32915
199	8221	32887
200	8259	32832
201	8296	32777
202	8329	32701
203	8370	32661
204	8408	32607
205	8447	32561
206	8487	32516
207	8517	32430
208	8556	32382
209	8598	32346
210	8641	32312
211	8681	32270
212	8728	32251
213	8765	32195
214	8801	32136
215	8841	32090
216	8881	32048
217	8920	31998
218	8961	31957
219	8998	31904
220	9035	31848
221	9067	31777
222	9105	31727
223	9153	31710
224	9207	31713
225	9244	31660
226	9280	31603
227	9320	31559
228	9358	31507
229	9392	31444
230	9425	31378
231	9464	31331
232	9504	31288
233	9544	31245
234	9581	31189
235	9621	31147
236	9655	31085
237	9694	31038
238	9732	30990
239	9771	30942
240	9812	30901
241	9849	30849
242	9894	30824
243	9938	30793
244	9973	30734
245	10009	30678
246	10055	30656
247	10097	30617
248	10137	30574
249	10183	30550
250	10224	30510
251	10264	30467
252	10308	30437
253	10348	30393
254	10391	30359
255	10430	30313
256	10464	30253
257	10497	30191
258	10533	30137
259	10575	30098
260	10608	30037
261	10648	29995
262	10688	29952
263	10731	29918
264	10767	29865
265	10806	29819
266	10852	29794
267	10893	29754
268	10935	29717
269	10968	29655
270	11010	29617
271	11042	29556
272	11083	29514
273	11124	29475
274	11168	29443
275	11210	29407
276	11242	29343
277	11273	29277
278	11320	29254
279	11355	29199
280	11391	29147
281	11433	29109
282	11472	29066
283	11508	29013
284	11551	28979
285	11589	28933
286	11625	28881
287	11665	28840
288	11701	28788
289	11743	28751
290	11783	28708
291	11822	28665
292	11866	28633
293	11905	28588
294	11950	28558
295	11995	28529
296	12035	28487
297	12078	28454
298	12116	28406
299	12163	28380
300	12195	28321
301	12234	28276
302	12275	28238
303	12315	28196
304	12356	28157
305	12392	28104
306	12437	28076
307	12477	28033
308	12514	27985
309	12548	27931
310	12589	27892
311	12637	27866
312	12671	27812
313	12706	27759
314	12749	27724
315	12787	27680
316	12826	27635
317	12868	27598
318	12904	27547
319	12940	27499
320	12983	27463
321	13019	27413
322	13055	27363
323	13091	27314
324	13134	27280
